m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.3,0.8,0.21,0.04,0.21997032524775023,0.6975143955677214,3.7271284507326,5.528900473246033,5.5289298670411355,5.528906275286538,5.528907687837311,5.5288935389828495,1.5205163697280497,1.5216233489302269,1.515910122501957,1.5220346143994377,1.520015949828796,0.5071933257850453
5.0,0.3,0.8,0.22,0.04,0.21481915610605803,0.7023308995410589,3.0560518931808005,5.160884316564214,5.160913346417736,5.160890046786015,5.160891441769444,5.160877468180523,1.1061131516095415,1.1069772787888255,1.1025158263738817,1.107298281662814,1.1057224660686629,0.6017477133042289
5.0,0.3,0.8,0.23,0.04,0.20969598848492324,0.7070059369462641,2.57584270696821,4.842151960528149,4.842180035130291,4.842157502161676,4.842158851279287,4.84214533759728,0.8386170804251876,0.839349182081655,0.8355681722378492,0.8396211120416908,0.838286049146113,0.7063717055351884
5.0,0.3,0.8,0.24,0.04,0.2046025746635974,0.711536145989509,2.2911564476794055,4.608672309077484,4.608698320120276,4.608677443281486,4.608678693252351,4.608666172949562,0.6747590733725346,0.6754148791796624,0.6720271203543788,0.6756584514787036,0.6744625163232385,0.8121317482775803
5.0,0.3,0.8,0.25,0.04,0.19953906517202394,0.7159272155071847,2.1730236231340925,4.491259477156625,4.491282535737234,4.491264028645553,4.4912651367447936,4.4912540376775425,0.6028726546677419,0.6034799108195941,0.6003424598810554,0.6037054396118648,0.6025980368889279,0.8707812999648251
5.0,0.3,0.8,0.26,0.04,0.19450423654570295,0.720183604557354,2.202673965606003,4.502689656957749,4.5027093382839425,4.502693541764778,4.502694487594248,4.502685014210577,0.6223190110820482,0.6228934602652529,0.6199252234762511,0.6231067980336533,0.6220592207307831,0.8684523879986553
5.0,0.3,0.8,0.27,0.04,0.18949846331814943,0.724306581506891,2.37595359443565,4.636646482137785,4.63666272114795,4.636649687468598,4.636650467844156,4.636642651448419,0.7329463057732752,0.7335010733760825,0.7306343925821963,0.7337070984782983,0.732695411949571,0.8099127795520804
5.0,0.3,0.8,0.28,0.04,0.18452306053666448,0.7282954352154111,2.699079267949024,4.871315092483734,4.871328077024451,4.871317655414792,4.871318279409557,4.87131202953659,0.9351037347297151,0.9356555092886865,0.9328042621378572,0.9358604219251774,0.9348541933983014,0.7179783997457638
5.0,0.3,0.8,0.29,0.04,0.17957858282966918,0.7321508808211028,3.1762580949380137,5.176108587431365,5.176118737187146,5.176110590775799,5.176111078550086,5.176106193152457,1.2384857957904316,1.2390593011173152,1.2360957933951724,1.239272284544306,1.2382264276525277,0.6319002069711341
5.0,0.3,0.8,0.3,0.04,0.17466196567382547,0.7358811061048967,3.7777667644199013,5.522133096589549,5.522141011042457,5.522134658729463,5.52213503904013,5.522131229640671,1.6734836545414495,1.6741132653259214,1.670859810900673,1.6743470838372545,1.6731989115936798,0.5463881091928868
5.0,0.3,0.8,0.31,0.04,0.16976273794889513,0.7395038625019412,4.42134807427265,5.892120261607765,5.892126598820418,5.892121512436738,5.892121816966487,5.892118766737262,2.295379735378269,2.296093418348214,2.292405038417023,2.2963584471051988,2.295056955448949,0.5237128515655342
