m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.3,0.79,0.2,0.04,0.22499386896944168,0.6927600706445866,4.523834975530313,5.942968256999244,5.942997128367857,5.942973956022648,5.942975343419526,5.9429614459025615,2.2302296030555553,2.2317923283215677,2.2237254430427456,2.2323728770300804,2.2295231130027204,0.44052969241747386
5.0,0.3,0.78,0.2,0.04,0.2248487431109659,0.6929411789096733,4.567654136147517,5.9669565114203,5.966983907311565,5.966961919200763,5.966963235749823,5.966950048347677,2.283234951376322,2.284828497674276,2.2765998533744423,2.285420433924479,2.282514446790934,0.44847028989328835
5.0,0.3,0.77,0.2,0.04,0.22469914744295238,0.693127624874991,4.611965640768027,5.991619904854666,5.99164588346806,5.991625032897296,5.991626281327932,5.991613776080918,2.3386119699901755,2.340237395216114,2.3318412852944093,2.3408411062995,2.337876965257543,0.45996986668542295
5.0,0.3,0.76,0.2,0.04,0.2245448766976378,0.6933195876511892,4.656786477900219,6.017041043299592,6.017065662177025,6.017045902965343,6.017047086063791,6.017035235262789,2.3964647251139795,2.3981229696526825,2.389554271312896,2.398738798513783,2.395714786964014,0.47556115344912187
5.0,0.3,0.75,0.2,0.04,0.2243857522917328,0.6935172498027878,4.702143019538958,6.043317392902132,6.04334070876515,6.043321995395068,6.043323115859799,6.043311892220423,2.456892868489227,2.4585847208826053,2.449839071784332,2.459212953915845,2.4561276317006886,0.4957852438864948
5.0,0.3,0.74,0.2,0.04,0.22422161026362866,0.693720796936635,4.748072809355868,6.07056288637235,6.070584955084847,6.070567242716457,6.070568303232754,6.0705576799099035,2.519989032025329,2.5217150922306573,2.512789078985712,2.522355944947627,2.5192082156866817,0.5211637779530864
5.0,0.3,0.73,0.2,0.04,0.2240522256874473,0.6939304172837889,4.794626314369758,6.098909209560894,6.098930085984954,6.098913330592801,6.0989143338091125,6.098904284348315,2.5858359042225274,2.587596546289511,2.5784878994694154,2.5882501497420307,2.5850393291364853,0.5521600666692708
5.0,0.3,0.72,0.2,0.04,0.22387741204091616,0.6941463013048162,4.841868465646563,6.128506508416045,6.128526246328725,6.128510404693621,6.128511353257487,6.128501851742236,2.654503094065454,2.656298429361719,2.647006214027293,2.6569648165849102,2.653690699195373,0.5891278814416326
5.0,0.3,0.71,0.2,0.04,0.2236970040432678,0.694368641359431,4.889879743559355,6.159523189940806,6.159541842076429,6.15952687191551,6.15952776829257,6.1595187893888905,2.726043943607543,2.7278737875697843,2.7183985758313938,2.7285528812743323,2.7252158007039142,0.6322478008259463
5.0,0.3,0.7,0.2,0.04,0.22351080579440152,0.6945976314820561,4.938756486932867,6.192144435290025,6.19216205299184,6.19214791309772,6.192148759717234,6.19214027873371,2.800492505126691,2.8023563509094274,2.7927003620032664,2.8030479537231585,2.7996488318234114,0.6814529471592051
5.0,0.3,0.69,0.2,0.04,0.22331876342354823,0.694833467301851,4.988610038775583,6.226569021409283,6.226585654716779,6.226572304915258,6.226573104241048,6.226565097075159,2.8778609409758573,2.8797579426530646,2.869925133077082,2.8804617309404748,2.877002107293116,0.7363487048931894
5.0,0.3,0.68,0.2,0.04,0.22312088684822995,0.6950763461371798,5.039564296856348,6.263004086382658,6.263019783894229,6.263007185172533,6.26300793954109,6.2630003827651635,2.9581375994160553,2.9600665673327384,2.9500626571010216,2.9607820896152006,2.9572641306256955,0.7961344237142244
5.0,0.3,0.67,0.2,0.04,0.22291709902057094,0.6953264672735401,5.091751248114939,0.01847229472110712,0.018487103458994625,0.018475218073092492,0.018475929752241882,0.018468800782159178,3.0412859695523693,3.0432453814158507,3.03307780425515,3.0439720623852153,3.0403985411929497,0.8595387019412792
5.0,0.3,0.66,0.2,0.04,0.22270725703448596,0.69558403240669,5.145304151971992,0.05954325261342319,0.059557217978692734,0.05954600951969269,0.05954668062992141,0.05953995762325803,3.127244588418158,3.1292326148503307,3.118910389087283,3.1299697654797782,3.1263440151286304,0.9247827855661611
5.0,0.3,0.65,0.2,0.04,0.2224911814955909,0.6958492462052129,5.2003482343960385,0.10320994207546619,0.10322310778707333,0.10321254113483747,0.10321317383210271,0.10320683573951328,3.215927776372915,3.217942320867074,3.2074758466931925,3.218689152380044,3.215014993401688,0.9895878087249907
5.0,0.3,0.64,0.2,0.04,0.22226866668633902,0.6961223169161547,5.256989072884004,0.14961717124384677,0.149629579447776,0.14961962078911029,0.1496202171070422,0.14961424360359388,3.3072268347180724,3.3092655842445637,3.2986663848540374,3.310021228445599,3.3063028755803643,1.0512398947128574
5.0,0.3,0.63,0.2,0.04,0.22203949690532368,0.6964034569266124,5.315299291532334,0.19886381117618157,0.19887550234221862,0.19886611916723496,0.19886668102577687,0.19886105265555898,3.4010111142213972,3.4030715961647147,3.3923520276269628,3.4038351252728134,3.40007708491688,1.1067217235406628
5.0,0.3,0.62,0.2,0.04,0.2218034367988639,0.6966928831953316,5.3753047049666165,0.25099250678846374,0.25100352016175975,0.25099468099057276,0.2509952102869306,0.25098990817565436,3.4971282238774037,3.499207861178853,3.488380826265562,3.49997830894457,3.4961852775484985,1.1529099789886923
5.0,0.3,0.61,0.2,0.04,0.22156024637931818,0.6969908175018673,5.436971570023466,0.30598366811460664,0.30599404157197796,0.3059857160074557,0.30598621456653063,0.3059812204879222,3.595402694286655,3.597498854662568,3.586577550415619,3.598275234892604,3.594452009867233,1.1868260671300208
5.0,0.3,0.6,0.2,0.04,0.22130966834320398,0.6972974865111926,5.500196998528587,0.36375577117365765,0.36376554158465524,0.36375770003002117,0.36375816959895246,0.3637534658069512,3.6956326955244876,3.6977427284244513,3.686740451243473,3.6985240479678723,3.6946754601757092,1.2059146665361244
5.0,0.3,0.59,0.2,0.04,0.2210514422160928,0.6976131217243493,5.5648046958134145,0.4241734623938669,0.4241826658881678,0.4241752793064393,0.42417572166783657,0.42417129075107596,3.7975849342650108,3.7997061962172083,3.788636211070603,3.8004914648079975,3.7966223321366996,1.2083138644790534
5.0,0.3,0.58,0.2,0.04,0.22078528997538616,0.6979379594549117,5.630547870143651,0.487063958597048,0.48707263095417375,0.4870656707112744,0.4870660875067756,0.4870619122985431,3.900988557235756,3.903118426759498,3.8919938856223197,3.9039066626799794,3.9000217628289064,1.1930750026185573
5.0,0.3,0.57,0.2,0.04,0.22051093185526935,0.6982722410248654,5.697120323566047,0.5522409140640434,0.5522490905269137,0.5522425282634345,0.5522429212415432,0.5522389846797182,4.005529579522623,4.007665470546577,3.9964993417073273,4.008455704782442,4.004559751257453,1.1602926574194097
5.0,0.3,0.56,0.2,0.04,0.22022806753331112,0.6986162133909188,5.764175448159982,0.6195335703201295,0.6195412860125202,0.6195350936159798,0.6195354643928681,0.6195317496963639,4.110847821712774,4.1129872030317856,4.1017921632440775,4.113778487356591,4.109876092830596,1.1111168478849072
5.0,0.3,0.55,0.2,0.04,0.219936393765107,0.6989701303783055,5.831351362062229,0.6888179976177184,0.6888252872959697,0.6888194368034988,0.6888197871490433,0.6888162774558282,4.216538350862571,4.218678784939435,4.207467016434144,4.219470205304184,4.2155658122804525,1.0476396823321894
5.0,0.3,0.54,0.2,0.04,0.21963558671262576,0.6993342546152108,5.898299133591841,0.7600468998408019,0.7600537979938622,0.7600482616877002,0.7600485932253491,0.7600452719885311,4.322158857341343,4.324298063450293,4.313080914996441,4.325088764194184,4.321186528444592,0.9726732716168343
5.0,0.3,0.53,0.2,0.04,0.21932530801551736,0.6997088601379252,5.964710390780816,0.833274944369407,0.8332814849769079,0.8332762356831722,0.8332765500327355,0.8332734009309775,4.427243323119306,4.429379270572859,4.418166763492842,4.430168487815841,4.426272109178022,0.889458281080868
5.0,0.3,0.52,0.2,0.04,0.21900520716954294,0.7000942354956168,6.030340860800003,0.9086777552248009,0.9086839713423274,0.9086789824846733,0.908679281228217,0.9086762883289907,4.531321032429638,4.533452059556872,4.522252252370741,4.534239165416089,4.53035167022275,0.8013558776824985
5.0,0.3,0.51,0.2,0.04,0.2186749047744999,0.7004906870583061,6.0950274841696555,0.9865642044870242,0.9865701282774921,0.9865653740212679,0.9865656587404033,0.986562806569566,4.633938839251947,4.636063790643526,4.624882044155889,4.63684834338968,4.632971834720443,0.7115756564424673
5.0,0.3,0.5,0.2,0.04,0.21833400392815902,0.7008985421246995,6.158698352609768,1.0673829863054038,1.0673886485051867,1.0673841041603396,1.0673843763129867,1.067381650064874,4.734684019609482,4.736802389254841,4.725640590025556,4.7375841862356864,4.733719581193178,0.6229792565129653
5.0,0.3,0.49,0.2,0.04,0.21798208716296755,0.7013181513572944,6.221376347609144,1.1517252689519069,1.1517306989454141,1.1517263410406144,1.1517266020128432,1.1517239875720975,4.833205183133792,4.835317254098605,4.824173053172068,4.836096381943513,4.83224315819492,0.5379799184890222
5.0,0.3,0.48,0.2,0.04,0.2176187045586336,0.7017498899895733,6.283178644538417,1.2403253272146344,1.2403305524517805,1.2403263588931281,1.2403266100523638,1.2403240940880664,4.92922956378046,4.931336534187118,4.9202026430278565,4.932113415283162,4.928269379793015,0.45854075647630105
5.0,0.3,0.47,0.2,0.04,0.21724337699700588,0.702194157134895,0.061129802427842606,1.3340604705722967,1.3340655166016973,1.3340614668746298,1.3340617093909373,1.334059279725409,5.022576347256141,5.024680442931036,5.01354399233454,5.0254558753579985,5.021616959278013,0.38626618561260423
5.0,0.3,0.46,0.2,0.04,0.21685559813790178,0.7026513723152844,0.12190396582542462,1.4339504092609445,1.4339552990646212,1.43395137469048,1.4339516097302862,1.433949255230857,5.113167365207424,5.1152719424147435,5.104113879737575,5.11604713664277,5.112207207488005,0.322584938069843
5.0,0.3,0.45,0.2,0.04,0.216454828725633,0.7031219679636508,0.18272111748780162,1.541154424096078,1.5411591779543983,1.5411553627396302,1.541155591230165,1.541153302209807,5.201038483822536,5.203148134889794,5.191942588120433,5.203924751752162,5.200075419335313,0.26903797073669355
5.0,0.3,0.44,0.2,0.04,0.21604049230858832,0.703606376136106,0.24410954440241994,1.6569620769237758,1.6569667113572564,1.6569629919841304,1.656963214742575,1.6569609831568073,5.286357518941564,5.288478202914881,5.277191695937596,5.289258399105471,5.285388777306558,0.22770367918856643
5.0,0.3,0.43,0.2,0.04,0.21561197550436606,0.7041050070647128,0.30676306412357235,1.7827691480011367,1.7827736750560348,1.782770041860715,1.7827702594764219,1.7827680795572292,5.369457696194637,5.371596923488447,5.360187273511961,5.372383417586057,5.368479786195017,0.2018000578534183
5.0,0.3,0.42,0.2,0.04,0.21516863177373635,0.7046182168188211,0.3716147758255488,1.920024438412895,1.920028864116432,1.92002531226359,1.9200255250130454,1.9200233938650513,5.450899043367222,5.453066157005956,5.4414808203535685,5.453862329500531,5.449907619843849,0.19646120449113294
5.0,0.3,0.41,0.2,0.04,0.2147097903641707,0.7051462620795805,0.43994969034207543,2.0701255848298956,2.070129907631838,2.0701264383615694,2.0701266461224463,2.0701245645205404,5.531571000302698,5.533777604653402,5.5219511774451675,5.534587651806611,5.530560662924323,0.21951694675014938
5.0,0.3,0.4,0.2,0.04,0.21423477630768933,0.7056892434451705,0.5135490202556525,2.2342378471967663,2.2342420561722633,2.234238678249369,2.2342388806205804,2.2342368536906747,5.6128404636950435,5.615101051089219,5.602951623783916,5.615930208726546,5.611804462089218,0.28169717337288586
5.0,0.3,0.39,0.2,0.04,0.21374294987376727,0.7062470465964334,0.5948175810986527,2.4130225553554396,2.4130266294528724,2.413023359827605,2.4130235556067987,2.413021593756241,5.696715914776938,5.699048704787707,5.6864729417742055,5.69990354883506,5.6956457530398765,0.39501116570534306
5.0,0.3,0.38,0.2,0.04,0.21323377986962813,0.7068193021743747,0.6867707018428177,2.6063133118719293,2.606317220728272,2.6063140837023298,2.6063142716052994,2.606312389191828,5.785924828438361,5.788352734996657,5.775220081337771,5.789241524307123,5.7848098060483935,0.567569978355845
5.0,0.3,0.37,0.2,0.04,0.21270701811593482,0.7074053914235695,0.7926866813532456,2.8128719689075865,2.812875676684655,2.8128727010471835,2.8128728793176947,2.812871093650813,5.883702567952547,5.8862540339199185,5.872401387741171,5.887187000417576,5.8825293753905825,0.7942413448523955
5.0,0.3,0.36,0.2,0.04,0.21216349092383405,0.7080045084971218,0.9152962881353801,3.0304194089817997,3.0304228807549975,3.0304200946193873,3.0304202614861993,3.03041858952389,5.993064798722422,5.9957741166243395,5.981003000451743,5.99676356280164,5.9918173416548015,1.0468065087497653
5.0,0.3,0.35,0.2,0.04,0.21160556758176202,0.7086157470102944,1.0557318701335703,3.2560156179357023,3.2560188264397425,3.256016251508811,3.2560164057818497,3.2560148605862764,6.11555956921287,6.118466574818136,6.102543452671249,6.119526737297143,6.114219075778543,1.2727138519304018
5.0,0.3,0.34,0.2,0.04,0.21103412041005715,0.7092381433129413,1.2129478080651666,3.4865389445768074,3.4865418742684255,3.4865395230768286,3.4865396639202686,3.486538252979301,6.250018502931503,6.253168474358368,6.235823705120161,6.254315459634505,6.248563530963416,1.4103950718537683
5.0,0.3,0.33,0.2,0.04,0.21044925588417457,0.7098706337621622,1.3843372034858135,3.7188287922745644,3.7188314382743215,3.718829314829293,3.718829441971195,3.7188281675985877,0.10908033624497193,0.11252604398174526,0.09344062571477707,0.11377854316748426,0.10748577989039632,1.4169681150228035
5.0,0.3,0.32,0.2,0.04,0.20985104444470262,0.7105119597268869,1.5674222624334675,3.9493876658662543,3.9493900313833024,3.949388132964998,3.9493882467568824,3.9493871074242293,0.2532450891249596,0.25705270384702317,0.235822674141275,0.2584340933122462,0.25147937747038895,1.2909504335519457
5.0,0.3,0.31,0.2,0.04,0.20923961476727276,0.7111606046035203,1.761507615470748,4.174137117547673,4.1741392112672315,4.1741375310107856,4.1741376316891206,4.1741366232013775,0.39417047348666756,0.3984288916377068,0.37450844554592777,0.3999705369724893,0.3921911309444681,1.0733724258013344
5.0,0.3,0.3,0.2,0.04,0.2086151171425453,0.7118148171008717,1.9681608262936265,4.388835323615751,4.388837159702746,4.388835686254026,4.388835774502297,4.388834890106466,0.5294614598038265,0.5342927982938477,0.5069269963919965,0.5360377191855719,0.5272100325929046,0.826796321490556
5.0,0.3,0.29,0.2,0.04,0.20797767575117282,0.712472697284333,2.1902864070512464,4.59012705605079,4.590128654903367,4.590127371793244,4.590127448713758,4.590126678577747,0.6600876216235179,0.6656574213312183,0.6338109807903152,0.6676637647952361,0.6574846145113611,0.6084661532092056
5.0,0.3,0.28,0.2,0.04,0.2073273918043444,0.7131322750173781,2.430384168443254,4.77652654604168,4.776527933618183,4.776526820093352,4.7765268867720465,4.7765262184071275,0.78966847089265,0.7961962876789244,0.7584723685691301,0.7985408309264699,0.7866079351261419,0.45404427810233383
5.0,0.3,0.27,0.2,0.04,0.2066643991590492,0.7137915199478874,2.6887851064985284,4.9486761123453675,4.948677318124794,4.948676350437893,4.948676408434096,4.948675827598493,0.9232181912885267,0.9309904228517212,0.8855249571388981,0.933772725246456,0.9195610297220469,0.37371084246752817
5.0,0.3,0.26,0.2,0.04,0.20598892044510783,0.7144482302028423,2.962550581783546,5.108722255402938,5.108723309472737,5.108722463574907,5.108722514256499,5.108722006499249,1.0658697306640192,1.0752569785254877,1.019568213576406,1.0786049295880389,1.0614345134272867,0.353119195210934
5.0,0.3,0.25,0.2,0.04,0.2053012997607287,0.7150997192425725,3.245543509925085,5.259059236512769,5.259060166889924,5.2590594202739,5.259059465004668,5.259059016821141,1.2218028705270285,1.2332852604832283,1.1640456369469234,1.2373631099604268,1.216352322743262,0.3585594921093848
