m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.21,0.8,0.2,0.04,0.2959438668940022,0.617398607387188,5.538045330599175,0.2548894747452337,0.2549032923330756,0.2549010631624711,0.2548873044143889,0.2548885722281753,3.655653396865638,3.6558697362098442,3.653689174033026,3.6561922037140917,3.6561842150759745,1.055148419477143
5.0,0.28,0.8,0.2,0.04,0.23938819205079506,0.678864111835608,4.895113833201428,6.149017264964748,6.149036304097187,6.149033232397521,6.1490142747039656,6.14901602150632,2.6792878471891015,2.6794840442888415,2.6775079341976777,2.6797765465251757,2.6797692993557973,0.5845961546288208
5.0,0.97,0.8,0.2,0.04,0.05108334086495061,0.7964417890101914,1.2911588568020136,2.9278489790720243,2.9279791290462356,2.9279567251612946,2.927827157595658,2.9278390037323163,5.787497021415021,5.787671682230922,5.785570720345987,5.788000106232886,5.788154794220446,0.9942929219402221
5.0,1.23,0.8,0.2,0.04,0.1096611791073684,0.777243598265465,4.013138048972657,5.739262512008942,5.739508254196814,5.739465950855198,5.739221312161796,5.739243678123536,2.5976319545229245,2.5977946491024824,2.595837884894948,2.598100582193595,2.598244681781992,1.0207188260552134
5.0,1.24,0.8,0.2,0.04,0.11166444410235937,0.7763189862925627,3.0218855790789405,4.516137647893544,4.516339247013917,4.516304542556924,4.516103849049529,4.516122197206556,1.548536801447547,1.5487239177706513,1.546473129770341,1.5490757622106983,1.549241481390375,1.1430478607355339
5.0,2.51,0.8,0.2,0.04,0.2837975207139377,0.638565335744128,4.095004282444414,6.1704616727639845,6.17139626990879,6.171235375761306,6.170304994128081,6.170390049459591,2.976731676920167,2.976920799946015,2.974647940270984,2.977276501690426,2.977444075446215,1.4419767637020795
5.0,2.55,0.8,0.2,0.04,0.28750654618509985,0.6343682290043378,4.925047171473999,1.2146029923275705,1.2153303955926162,1.2152051887230186,1.2144810229917198,1.2145472365788805,3.5118337462033082,3.512030148740166,3.509670696168257,3.5123995785422153,3.512573636447712,1.5452246163241896
5.0,2.88,0.8,0.2,0.04,0.31585887565009235,0.6007625724505761,6.023371186924294,2.062269672777724,2.062812083241546,2.0627187183789957,2.0621787235940374,2.06222809710372,4.003208450320848,4.003453716802063,4.00050890003687,4.003915126362621,4.004132551277429,1.5211095633844525
5.0,2.97,0.8,0.2,0.04,0.32294431415783637,0.5919402131157472,1.6348743220153352,2.919100968905937,2.9194894475242705,2.919422572474346,2.9190358393400544,2.9190711959347624,5.292406513875235,5.292895134341293,5.287030770924744,5.293814449788684,5.294247690957732,1.4781936087018541
5.0,3.01,0.8,0.2,0.04,0.32599785164236933,0.5881357107471299,4.139410124127018,0.12202575923681991,0.123237834876889,0.12302918009943653,0.12182255221985372,0.12193286674126114,3.0657616228555327,3.065952601698953,3.0636579407983646,3.066311814442159,3.066481051801091,1.5446026504722197
