m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.02,0.04,0.32145075967171777,0.5815360840497061,1.386893942639638,4.034020422015288,4.0365202144822945,4.036133743093757,4.033644518677335,4.033874943287316,0.1787213271853787,0.17912074642925546,0.17627405336259727,0.17948747837716184,0.17892829857999715,1.0099129399462063
5.0,0.3,0.8,0.05,0.04,0.3049573674277642,0.6028485473326959,5.510602855789919,0.2745915361203046,0.2751093080343239,0.275029244454025,0.2745136969348536,0.27456141090001296,3.6222863658064384,3.6232448671427377,3.616402950601831,3.624124501482264,3.6227831032071194,1.0472898281875984
5.0,0.3,0.8,0.27,0.04,0.18949846331814943,0.724306581506891,2.37595359443565,4.636646482137785,4.63666272114795,4.636649687468598,4.636650467844156,4.636642651448419,0.7329463057732752,0.7335010733760825,0.7306343925821963,0.7337070984782983,0.732695411949571,0.8099127795520804
5.0,0.3,0.8,1.78,0.04,0.29390623684597494,0.6177666568291208,5.2521345748833355,1.5122919557673526,1.5123082093726339,1.5122951626147483,1.5122959434950758,1.512288123981591,3.662365606469926,3.662480369769206,3.6618906858544378,3.6625230678660827,3.662313805835389,1.5481181634883627
5.0,0.3,0.8,2.32,0.04,0.37366789295000724,0.5118910341770033,2.7463990153151983,3.666459392337508,3.666519170561166,3.666471186213691,3.6664740580141526,3.666445300726643,1.3264177460620132,1.3271133338836236,1.323541345701976,1.3273721798446942,1.3261038443594018,1.6878902059974488
5.0,0.3,0.8,2.41,0.04,0.38461531569552515,0.49607704326645363,3.0050956683720145,3.959826847771474,3.959919385510439,3.959845104698907,3.959849550010695,3.959805034410529,1.897726438537866,1.898301994224603,1.8953470366744298,1.8985161883777621,1.8974667241512364,1.67982702224692
5.0,0.3,0.8,2.44,0.04,0.3881282403462162,0.49099430118136295,4.054519679734142,0.1488121784941896,0.14910234225411756,0.1488694273257707,0.1488833666981364,0.1487437759888408,3.0830489022285406,3.083371652663402,3.081716081758998,3.08349180003853,3.082903308903326,1.6797848872650052
5.0,0.3,0.8,2.59,0.04,0.40488603751043145,0.46774573834301825,3.808835168841142,5.765156273474531,5.765580696720463,5.765240006720887,5.76526039493092,5.7650562281460225,2.926109308321429,2.926527119444472,2.924384529705094,2.9266826685880005,2.9259208514586135,1.6925346381407798
5.0,0.3,0.8,2.75,0.04,0.4213021895523626,0.4483255375638597,3.156298229003248,4.123765548949329,4.124014895278258,4.123814740116238,4.123826717710351,4.123706777197974,2.2179056197891143,2.2187260937370112,2.2145162059949755,2.219031494265316,2.217535464494965,1.7385956981576252
5.0,0.3,0.8,2.86,0.04,0.4318092649961323,0.43671059157850123,2.9719001726288568,3.8259568630500596,3.826206497747016,3.826006111409633,3.826018102911739,3.825898022468145,1.8901465137031934,1.8914247963065733,1.884863480331596,1.8919005454399027,1.8895697440265664,1.7854154281493322
5.0,0.3,0.8,2.92,0.04,0.43731082590127085,0.43076290656630006,0.9077921553734214,2.618393773930542,2.618642283320618,2.618442807442001,2.618454746288002,2.618335185082209,4.246487048782171,4.247739103675656,4.241341443414228,4.248205794734702,4.24592301251522,1.7708412724826548
5.0,0.3,0.8,3.06,0.04,0.4495024015583319,0.41786498804106925,1.241006114230224,2.72420484914732,2.724504814680806,2.724264036350398,2.7242784471266006,2.724134127725158,4.390358612483865,4.392096713231254,4.383227714799901,4.392744868708647,4.389575997855459,1.8000095802950884
5.0,0.3,0.8,3.19,0.04,0.4600867420452243,0.40685519935243114,0.5856491814289839,2.546749944151692,2.547174939487981,2.546833807228417,2.546854225886513,2.5466497344847667,4.062658675735236,4.064212242528754,4.056288342431742,4.0647916670022255,4.061959258144213,1.834572639826604
5.0,0.3,0.8,3.25,0.04,0.46476968700679344,0.40202393769785333,1.194650378649314,2.714195494809175,2.7146071599180885,2.714276725642705,2.7142965035726974,2.714098431313616,4.313818355885083,4.315928540799355,4.30517855551188,4.316715878653845,4.312868750282355,1.8431170087142248
5.0,0.3,0.8,3.49,0.04,0.4822084984494502,0.3842315459414837,2.6753023134899436,3.4139795593548357,3.4145023568437196,3.4140826978493592,3.414107811399141,3.413856332366983,1.02624033404593,1.0318802053427376,1.0028965934363683,1.033978339357624,1.023694457637454,1.903179996793895
5.0,0.3,0.8,3.67,0.04,0.494154697870099,0.37299032684865263,4.416340947131673,1.5143108374770904,1.5164988294320878,1.514742831755278,1.5148479942956996,1.5137944796745373,3.348782875491949,3.3502419073052323,3.342804051083064,3.3507861586863754,3.3481261304355456,1.928219627338802
5.0,0.3,0.8,3.76,0.04,0.49979663155006,0.3694777226720291,2.652965992513664,3.3690054831050205,3.369700683789297,3.3691426332525864,3.369176028279135,3.3688416200885243,0.8945023616334495,0.9026988931064537,0.8605577168282892,0.9057475916716342,0.8908017187723729,1.942638512605125
