m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.3,0.8,0.2,0.039,0.22520490193821754,0.6925048534623686,4.387109914547942,5.868839214873638,5.868839224036343,5.868839222319217,5.868839225685257,5.868839224453346,2.07522902863942,2.076492922285375,2.0688954969430924,2.0773617737930508,2.0744310029420703,0.4288048370050309
5.0,0.3,0.8,0.2,0.038,0.22527452392812444,0.6924264079845311,4.289573397848777,5.81712813954649,5.817128149775577,5.817128147906111,5.817128151653229,5.817128150270342,1.9737604757281915,1.9750204690320388,1.967448291468223,1.9758867081721618,1.9729649742387991,0.4301999293987114
5.0,0.3,0.8,0.2,0.037,0.2253261717461776,0.6924010432290609,3.478178012396107,5.40422821927708,5.404228219612229,5.404228219595858,5.404228219660432,5.404228219647699,1.33782538147792,1.3380981542230401,1.33645227691553,1.3382854328009088,1.3376529413820535,0.537001773254872
5.0,0.3,0.8,0.2,0.036,0.2253927042948012,0.6923300994307919,3.3554689145824668,5.339333568757262,5.339333569136066,5.339333569044207,5.339333569206552,5.339333569136066,1.2605193685370395,1.2607915123606617,1.2591495108179842,1.260978362283673,1.2603473287488995,0.5525394785973463
5.0,0.3,0.8,0.2,0.035,0.22545329955981377,0.692273109541011,2.2454709819520176,4.62313394519682,4.62313394519682,4.62313394519682,4.623133945229107,4.62313394519682,0.6352701378303536,0.635334349829769,0.6349464694261187,0.6353784195788066,0.6352295299855868,0.7928304352181421
5.0,0.3,0.8,0.2,0.034,0.22552068046494067,0.6922005159723686,2.135483395405423,4.527364084977613,4.527364084977613,4.527364084977613,4.527364084977613,4.527364084977613,0.5704556203939646,0.5705207924541682,0.5701271173969289,0.5705655213249301,0.5704144055387914,0.8395888269620649
5.0,0.3,0.8,0.2,0.033,0.2255885311234645,0.69212733385121,2.0278973612792797,4.4272924126492725,4.4272924127070254,4.4272924127070254,4.4272924127070254,4.4272924127070254,0.5052895892825617,0.5053558725351976,0.5049554901405244,0.5054013642705613,0.5052476718650141,0.888320355622406
5.0,0.3,0.8,0.2,0.032,0.22565691770687368,0.6920535025191105,1.92270261931602,4.322892602823536,4.3228926029258545,4.3228926029258545,4.322892602927219,4.3228926029258545,0.43960592191145764,0.43967347553992653,0.4392654240258125,0.43971983943750814,0.4395632011899906,0.9369481685365105
5.0,0.3,0.8,0.2,0.031,0.2257258714057053,0.6919789756977555,1.8198501914510743,4.2142109712134115,4.2142109712134115,4.2142109712134115,4.2142109712134115,4.2142109712134115,0.3732969155988357,0.37336590705157136,0.37294917621860435,0.3734132578914213,0.3732532858656086,0.9828018331808567
