m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.29,0.8,0.2,0.04,0.23217958876410824,0.68598435201759,0.2774764062938857,1.6814312693292095,1.6814312815346284,1.6814312792936335,1.6814312840757566,1.6814312823731825,5.354243761525957,5.355046719921027,5.350210329664058,5.355598335006015,5.353736441115778,0.38982018223478765
5.0,0.28,0.8,0.2,0.04,0.2393612399669599,0.6790250289177095,1.9351760200636505,4.396186910789098,4.396186924384224,4.396186921954055,4.396186927076329,4.396186925213684,0.4598319622230207,0.4604740524530513,0.45661018608485904,0.4609152927453266,0.4594264033014639,0.895695686916506
5.0,0.27,0.8,0.2,0.04,0.2468321909030478,0.6715222384817072,1.0155721529920356,3.1960922613000093,3.1960922613000093,3.1960922613000093,3.1960922614273386,3.1960922614273386,6.104452902843626,6.104608454348202,6.103668823976044,6.104715212706218,6.10435453155835,0.8563396368646001
5.0,0.26,0.8,0.2,0.04,0.2544277522121079,0.663739785726144,1.7214113761291543,4.226617734613583,4.226617734850052,4.226617734635411,4.226617734850052,4.226617734850052,0.33532924422969757,0.3354852686278633,0.3345428157989687,0.33559235248675634,0.33523057505216514,0.9655660274231777
5.0,0.25,0.8,0.2,0.04,0.2622605822568994,0.6554739757857716,1.5201691222956981,4.01608830701494,4.016088307349634,4.01608830701494,4.016088307349634,4.016088307349634,0.21102048912703708,0.21105905074196585,0.21082589566699994,0.21108550819749894,0.21099609566422828,1.0311720911588147
5.0,0.24,0.8,0.2,0.04,0.2703544177372616,0.6467357561071195,0.80851203636648,2.8677064807505275,2.8677064807505275,2.8677064807505275,2.8677064807505275,2.8677064807505275,5.971583920819349,5.971622616002669,5.971388644183271,5.97164916452045,5.971559442853568,0.625115701757195
5.0,0.23,0.8,0.2,0.04,0.27863193663873626,0.6375001034865296,6.22799953217028,1.0476213913365768,1.0476213913365768,1.0476213913365768,1.0476213913365768,1.0476213913365768,4.9367531474497,4.936819333281811,4.936419101825514,4.9368647414164215,4.9367112767438,0.5754338074415307
5.0,0.22,0.8,0.2,0.04,0.2872170526646585,0.6276832750389193,4.142737753624125,5.747916545329964,5.747916545329964,5.747916545329964,5.747916545329964,5.747916545329964,1.6359121882345349,1.6359841555789458,1.635549030929134,1.6360335319735455,1.6358666638483115,0.3823737007026477
5.0,0.21,0.8,0.2,0.04,0.29604655342004477,0.6174570243058637,0.3703195432353752,1.8343635490491508,1.8343635490491508,1.8343635490491508,1.8343635490491508,1.8343635490491508,5.590058529992589,5.590103181231157,5.589833171451815,5.590133814893548,5.590030282913418,0.26082881429677585
5.0,0.2,0.8,0.2,0.04,0.3051091617120678,0.6065962953613963,2.533175751063851,5.052008125748131,5.052008125748131,5.052008125748131,5.052008125748131,5.052008125748131,0.7442214413448767,0.744264318221127,0.7440050594586012,0.7442937354052503,0.7441943180191686,0.5429291221923979
5.0,0.19,0.8,0.2,0.04,0.3145807941593626,0.5948820457489247,4.494032786938824,5.88978951051633,5.88978951051633,5.88978951051633,5.88978951051633,5.88978951051633,1.8542725951427386,1.854356945297532,1.8538469182329393,1.8544148156741542,1.8542192347829953,0.3131211588164376
5.0,0.18,0.8,0.2,0.04,0.3243403883384816,0.5826010054079042,4.6805340464604654,5.962616067864232,5.962616067864232,5.962616067864232,5.962616067864232,5.962616067864232,2.0255618086819,2.025655186321032,2.025090554857101,2.0257192525502745,2.0255027365426344,0.29912293713490135
5.0,0.17,0.8,0.2,0.04,0.33443379120239336,0.5696542355847862,3.1103222852576877,5.381530845330097,5.381530845330097,5.381530845330097,5.381530845330097,5.381530845330097,0.9469174960537643,0.9469661089421137,0.9466721452623901,0.9469994619281792,0.9468867420470346,0.43912190090663616
5.0,0.16,0.8,0.2,0.04,0.34499210670029545,0.555794390821095,0.4624920213014434,2.1318151585679175,2.1318151585679175,2.1318151585679175,2.1318151585679175,2.1318151585679175,5.781518246350821,5.7815561642472275,5.7813268437438055,5.781582177414599,5.781494258151575,0.22502179747098885
5.0,0.15,0.8,0.2,0.04,0.35591780752711344,0.5409611257324095,3.9500025225650006,5.6986072455081285,5.6986072455081285,5.6986072455081285,5.6986072455081285,5.6986072455081285,1.2940239621500496,1.2940879613786365,1.293700949922595,1.2941318697128281,1.2939834753603918,0.358386392253812
5.0,0.14,0.8,0.2,0.04,0.3672711097799756,0.5253463252581784,5.393136998815805,0.007970472641012805,0.007970472641012805,0.007970472641012805,0.007970472641012805,0.007970472641012805,3.144205318177171,3.1443395519517594,3.1435276889741885,3.144431642084726,3.144120393956598,0.7937924214950367
5.0,0.13,0.8,0.2,0.04,0.3792520019415457,0.5086773600300448,5.073265093026862,6.090619850377266,6.090619850377266,6.090619850377266,6.090619850377266,6.090619850377266,2.3724826079279637,2.3726059812189533,2.3718598599745064,2.3726906197417748,2.3724045582213193,0.3220699233848192
5.0,0.12,0.8,0.2,0.04,0.39167332713347985,0.49171730424710464,1.5461675925647,4.597320789070466,4.597320789317848,4.597320789070466,4.597320789317848,4.597320789317848,0.31821903073370095,0.31825066502580057,0.31805933030710776,0.3182723673338046,0.3181990165751927,0.7373074537556866
5.0,0.11,0.8,0.2,0.04,0.4048851062041688,0.4755977214543513,5.090400253110396,6.0745343340429585,6.0745343340429585,6.0745343340429585,6.0745343340429585,6.0745343340429585,2.26495637488258,2.2650848477903978,2.2643078253793405,2.2651729838187507,2.264875097390153,0.2651631387800457
5.0,0.1,0.8,0.2,0.04,0.4187370343489356,0.4604636479617706,5.040463467694494,6.044256187086134,6.044256187086134,6.044256187086134,6.044256187086134,6.044256187086134,2.0899396029401345,2.090064070196817,2.089311255082279,2.0901494568590664,2.089860857688322,0.2116827586189479
5.0,0.09,0.8,0.2,0.04,0.4332985270285362,0.44554199581862425,0.8563589467227715,3.70592417574489,3.70592417574489,3.70592417574489,3.70592417574489,3.70592417574489,6.238247447853581,6.238275357164611,6.238106520368973,6.238294502701109,6.238229788977122,1.0002719513909861
5.0,0.08,0.8,0.2,0.04,0.4488782377875012,0.4298526895042785,1.8504711249738008,5.0816720879924375,5.0816720879924375,5.0816720879924375,5.0816720879924375,5.0816720879924375,0.44735095605977193,0.44738288315459585,0.44718974266691447,0.44740478373244486,0.4473307556112829,0.43235284896093745
