m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,4.848258633573934,6.136743489410875,6.136743861441502,6.136743793664138,6.136743930141094,6.136743880111609,2.663312280746979,2.6688342551478144,2.636074407786438,2.67264682660236,2.659840431415361,0.5883913463950923
5.0,0.3,0.79,0.2,0.04,0.22499391664332766,0.6927603403261374,4.523999562339519,5.943065979256367,5.943065986994803,5.943065985575082,5.943065988458635,5.943065987404985,2.2304860149086707,2.231776257657053,2.224016183581476,2.2326630599430572,2.229671207341049,0.44055958054987043
5.0,0.3,0.78,0.2,0.04,0.2248457797814613,0.6929662905363906,4.204929973101422,5.773766518421176,5.773766518569879,5.773766518561239,5.7737665185776095,5.7737665185776095,1.894367863453077,1.894666401301798,1.8928637699248938,1.8948713206999273,1.8941790915885903,0.431537126491287
5.0,0.3,0.77,0.2,0.04,0.22469574107117413,0.6931562594383975,3.903988205551137,5.6214766529727385,5.6214766529727385,5.6214766529727385,5.6214766529727385,5.6214766529727385,1.6387760366895563,1.6388462140133342,1.638422009717793,1.638894367051158,1.6387316465500916,0.46850366662074533
5.0,0.3,0.76,0.2,0.04,0.22454368620787257,0.6933447344304339,3.9620763609417153,5.650379496248512,5.650379496248512,5.650379496248512,5.650379496248512,5.650379496248512,1.6848148548000026,1.6848868160553465,1.684451819969432,1.6849361926564015,1.6847693360039884,0.4572975366582697
5.0,0.3,0.75,0.2,0.04,0.2243869514675931,0.6935388569432153,4.0209091546992894,5.679642278348943,5.679642278348943,5.679642278348943,5.679642278348943,5.679642278348943,1.7330602326836342,1.7331341138604657,1.7326875023448665,1.7331848074871559,1.7330134990632686,0.44621923412654985
5.0,0.3,0.74,0.2,0.04,0.22422535566148982,0.693738839760208,4.08042819168471,5.709277395505829,5.709277395505829,5.709277395505829,5.709277395505829,5.709277395505829,1.7836652412759904,1.7837411869021125,1.7832820851402502,1.7837932967425658,1.7836172014129588,0.43555187281266844
5.0,0.3,0.73,0.2,0.04,0.22405872821833614,0.6939449032817402,4.140573051908028,5.73930302878383,5.73930302878383,5.73930302878383,5.73930302878383,5.73930302878383,1.8367943179190078,1.8368724806776626,1.8363999646383817,1.8369261113506,1.8367448751749507,0.4256639535519248
5.0,0.3,0.72,0.2,0.04,0.22388682873459576,0.6941572752924685,4.201282775615105,5.769745258006729,5.769745258006729,5.769745258006729,5.769745258006729,5.769745258006729,1.8926232373022103,1.89270377733677,1.8922168780330466,1.8927590387719064,1.8925722904303584,0.41702405622175515
5.0,0.3,0.71,0.2,0.04,0.22370945866195013,0.6943761905593535,4.262497808038312,5.800640722073091,5.800640722073091,5.800640722073091,5.800640722073091,5.800640722073091,1.951338602346219,1.9514216860237283,1.9509193956190174,1.9514786922207676,1.9512860459866133,0.41021638639305164
5.0,0.3,0.7,0.2,0.04,0.2235264022505999,0.6946018902243682,4.324162502260911,5.832039918393853,5.832039918393853,5.832039918393853,5.832039918393853,5.832039918393853,2.0131366654639677,2.0132224638467378,2.012703746914518,2.0132813319690612,2.013082391319891,0.40595615146822367
5.0,0.3,0.69,0.2,0.04,0.2233373879254686,0.6948346209537345,4.386228285008507,5.8640112232850115,5.8640112232850115,5.8640112232850115,5.8640112232850115,5.8640112232850115,2.0782212549887262,2.0783099412008923,2.0777737494161883,2.078370790127643,2.0781651536156787,0.40510279025564616
5.0,0.3,0.68,0.2,0.04,0.22314220535345783,0.6950746338120796,4.448657587670674,5.896645681891947,5.896645681891947,5.896645681891947,5.896645681891947,5.896645681891947,2.1468005484742534,2.1468922943434663,2.1463375864612644,2.1469552419410647,2.146742511074386,0.4086676443132741
5.0,0.3,0.67,0.2,0.04,0.22294056296400372,0.6953221828438315,4.511428619596096,5.930062542757092,5.930062542757092,5.930062542757092,5.930062542757092,5.930062542757092,2.21908242624189,2.2191773980446996,2.218603166323497,2.2192425582696487,2.219022347307906,0.4178106662158356
5.0,0.3,0.66,0.2,0.04,0.22273220205846045,0.6955775233738204,4.574540992403705,5.964415375937129,5.964415375937129,5.964415375937129,5.964415375937129,5.964415375937129,2.295268169247116,2.2953665221842456,2.294771825301119,2.2954340014474255,2.2952059507218436,0.4338182652902206
5.0,0.3,0.65,0.2,0.04,0.22251684421049991,0.6958409100748498,4.63802207634884,5.9998983934823045,5.9998983934823045,5.9998983934823045,5.9998983934823045,5.9998983934823045,2.3755443652247195,2.375646237162833,2.3750302384849746,2.3757161301294545,2.375479919826681,0.4580517264462045
5.0,0.3,0.64,0.2,0.04,0.22229418051924632,0.6961125949135062,4.701933748262341,6.036752263254435,6.036752263254435,6.036752263254435,6.036752263254435,6.036752263254435,2.460073084819065,2.460178589036637,2.459540600443539,2.460250972988284,2.4600063405994987,0.4918536094464337
5.0,0.3,0.63,0.2,0.04,0.22206394394859866,0.6963928251472272,4.7663788579864885,6.075268270167122,6.075268270167122,6.075268270167122,6.075268270167122,6.075268270167122,2.5489807084525964,2.5490899260351725,2.5484294542864845,2.549164856329604,2.548911614238328,0.536399614858528
5.0,0.3,0.62,0.2,0.04,0.22182581342066096,0.6966818416096134,4.831506291304628,6.115789173329027,6.115789173329027,6.115789173329027,6.115789173329027,6.115789173329027,2.642346223573746,2.6424591957546326,2.641775986748449,2.6425367008185603,2.642274752973968,0.5924877579731217
5.0,0.3,0.61,0.2,0.04,0.22157956853411667,0.6969798775615746,4.897512975478854,6.158704636877097,6.158704636877097,6.158704636877097,6.158704636877097,6.158704636877097,2.7401902844920514,2.7403070069438726,2.739601082550358,2.7403870835786037,2.7401164400724483,0.6602677631030103
5.0,0.3,0.6,0.2,0.04,0.22132504128948055,0.6972871583632255,4.964640683530284,6.204438891010646,6.204438891010646,6.204438891010646,6.204438891010646,6.204438891010646,2.842466712448946,2.8425871309894646,2.841858813679515,2.8426697420262244,2.8423905283701387,0.7389329516341003
5.0,0.3,0.59,0.2,0.04,0.22106239832818475,0.6976039021246752,5.033165231659346,6.253428598872084,6.253428598872084,6.253428598872084,6.253428598872084,6.253428598872084,2.9490581435332714,2.94918215405945,2.948432070609975,2.949267227178403,2.948979685655864,0.8264232864370732
5.0,0.3,0.58,0.2,0.04,0.2207917008021756,0.6979303213053308,5.103375927358535,0.0229047938451572,0.0229047938451572,0.0229047938451572,0.0229047938451572,0.0229047938451572,3.059776976013687,3.0599044261178605,3.059133490815235,3.0599918574101466,3.059696340248898,0.9192155398498065
5.0,0.3,0.57,0.2,0.04,0.22051280768394985,0.6982666249895915,5.175544211146494,0.07959218232832654,0.07959218232832654,0.07959218232832654,0.07959218232832654,0.07959218232832654,3.1743714872466953,3.174502184288791,3.1737115573044647,3.174591840941808,3.1742887954940997,1.0122932770438409
5.0,0.3,0.56,0.2,0.04,0.22022549221827922,0.6986130213435984,5.249882532345815,0.1405508999546896,0.1405508999546896,0.1405508999546896,0.1405508999546896,0.1405508999546896,3.292535180584615,3.292668900463319,3.291859932538806,3.292760628692882,3.2924505743929657,1.0993815517763397
5.0,0.3,0.55,0.2,0.04,0.21992949123811908,0.6989697196592267,5.326497514094022,0.20587509697821815,0.20587509697821815,0.20587509697821815,0.20587509697821815,0.20587509697821815,3.4139156686081478,3.4140521661891725,3.413226334939587,3.4141457976705496,3.413829303004455,1.1734891857214809
5.0,0.3,0.54,0.2,0.04,0.21962451203148456,0.6993369314889816,5.405344868077769,0.2754795786091222,0.2754795786091222,0.2754795786091222,0.2754795786091222,0.2754795786091222,3.5381186342650253,3.538257652510616,3.5374165072047035,3.5383530103616394,3.538030671873763,1.2277274197486039
5.0,0.3,0.53,0.2,0.04,0.21931025662016299,0.6997148707017992,5.486196278158637,0.3490973077478543,0.3490973077478543,0.3490973077478543,0.3490973077478543,0.3490973077478543,3.6647034653954833,3.6648447418700343,3.6639898635661083,3.664941646480507,3.664614071557331,1.256285077661516
5.0,0.3,0.52,0.2,0.04,0.21898640920133103,0.7001037527483175,5.568629187447492,0.426309933811865,0.426309933811865,0.426309933811865,0.426309933811865,0.426309933811865,3.7931702843282764,3.793313554675784,3.7924465379668035,3.793411824038081,3.793079626390714,1.2553661227069166
5.0,0.3,0.51,0.2,0.04,0.21865264448676588,0.700503793883223,5.652047775101288,0.506611729733379,0.5066117297520236,0.5066117297520236,0.5066117297520236,0.5066117297520236,3.9229425441570456,3.9230875422639073,3.922209991857322,3.923186993596879,3.922850790411154,1.223866339959709
5.0,0.3,0.5,0.2,0.04,0.21830863480557167,0.700915211343044,5.735736971707716,0.5894984474057878,0.5894984474057878,0.5894984474057878,0.5894984474057878,0.5894984474057878,4.053353418881976,4.05349987690564,4.0526134058516945,4.053600326641877,4.053260738355071,1.163603216087453
5.0,0.3,0.49,0.2,0.04,0.21795403598463028,0.7013382254074111,5.818942444643959,0.6745651998704147,0.6745651998704147,0.6745651998704147,0.6745651998704147,0.6745651998704147,4.183645737899347,4.183793390569313,4.182899600070719,4.1838946560481745,4.183552298480059,1.0790185305395945
5.0,0.3,0.48,0.2,0.04,0.21758848678102877,0.7017730638212546,5.900961317441066,0.7615948735643201,0.7615948735643201,0.7615948735643201,0.7615948735643201,0.7615948735643201,4.312992746322685,4.313141338278307,4.312241765778559,4.313243244502097,4.31289870908207,0.9764203908298433
5.0,0.3,0.47,0.2,0.04,0.2172116117191764,0.7022199683710981,5.981224815913116,0.8506222075871506,0.8506222075871506,0.8506222075871506,0.8506222075871506,0.8506222075871506,4.440540804062344,4.4406901059849915,4.439786133924223,4.440792495126367,4.4404463142990025,0.86296724578367
5.0,0.3,0.46,0.2,0.04,0.2168230132484211,0.7026792026920979,6.059357146179387,0.9419670094762864,0.9419670094762864,0.9419670094762864,0.9419670094762864,0.9419670094762864,4.5654676961697405,4.565617524326022,4.564710256336944,4.565720270480448,4.56537286950455,0.7456615294838803
