m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,11955.466712889147,11956.755197744984,11956.755198117015,11956.755198049237,11956.755198185714,11956.755198135685,11953.28176653632,11953.28728851072,11953.25452866336,11953.291101082175,11953.278294686988,0.5883913463950923
5.0,0.29,0.8,0.2,0.04,0.23217958876410824,0.68598435201759,14577.267389062934,14578.67134392597,14578.671343938175,14578.671343935934,14578.671343940716,14578.671343939013,14576.060971110986,14576.061774069381,14576.056937679125,14576.062325684466,14576.060463790576,0.38982018223478765
5.0,0.28,0.8,0.2,0.04,0.2393612399669599,0.6790250289177095,14541.225976833626,14543.686987724352,14543.686987737947,14543.686987735517,14543.686987740639,14543.686987738776,14539.750632775786,14539.751274866016,14539.747410999647,14539.751716106308,14539.750227216864,0.895695686916506
5.0,0.27,0.8,0.2,0.04,0.2468321909030478,0.6715222384817072,17091.279607681467,17093.460127789775,17093.460127789775,17093.460127789775,17093.460127789902,17093.460127789902,17090.08530312414,17090.085458675643,17090.08451904527,17090.085565434,17090.085204752853,0.8563396368646001
5.0,0.26,0.8,0.2,0.04,0.2544277522121079,0.663739785726144,17054.286335061526,17056.79154142001,17056.791541420247,17056.791541420032,17056.791541420247,17056.791541420247,17052.900252929627,17052.900408954025,17052.899466501196,17052.900516037884,17052.90015426045,0.9655660274231777
5.0,0.25,0.8,0.2,0.04,0.2622605822568994,0.6554739757857716,19529.66010383645,19532.15602302117,19532.156023021504,19532.15602302117,19532.156023021504,19532.156023021504,19528.35095520328,19528.350993764896,19528.35076060982,19528.35102022235,19528.35093080982,1.0311720911588147
5.0,0.24,0.8,0.2,0.04,0.2703544177372616,0.6467357561071195,19491.249334907443,19493.308529351827,19493.308529351827,19493.308529351827,19493.308529351827,19493.308529351827,19490.129221484716,19490.1292601799,19490.12902620808,19490.129286728417,19490.12919700675,0.625115701757195
5.0,0.23,0.8,0.2,0.04,0.27863193663873626,0.6375001034865296,19452.68652525299,19453.789332419336,19453.789332419336,19453.789332419336,19453.789332419336,19453.789332419336,19451.39527886827,19451.3953450541,19451.394944822645,19451.395390462236,19451.395236997563,0.5754338074415307
5.0,0.22,0.8,0.2,0.04,0.2872170526646585,0.6276832750389193,19412.902151631366,19414.507330423072,19414.507330423072,19414.507330423072,19414.507330423072,19414.507330423072,19410.395326065976,19410.39539803332,19410.39496290867,19410.395447409715,19410.39528054159,0.3823737007026477
5.0,0.21,0.8,0.2,0.04,0.29604655342004477,0.6174570243058637,19371.4306215779,19372.894665583714,19372.894665583714,19372.894665583714,19372.894665583714,19372.894665583714,19370.367175257477,19370.367219908716,19370.366949898937,19370.36725054238,19370.3671470104,0.26082881429677585
