m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20286857712368436,0.5732706753544182,11955.466712889147,11956.755197744984,11956.755198117015,11956.755198049237,11956.755198185714,11956.755198135685,11953.28176653632,11953.28728851072,11953.25452866336,11953.291101082175,11953.278294686988,0.5883913463950923
5.0,0.31,0.8,0.2,0.04,0.21826063734618437,0.6989871972617319,14646.817118879142,14648.650041188435,14648.650041205618,14648.650041202562,14648.650041209117,14648.65004120674,14645.620470305901,14645.621149294964,14645.61706312165,14645.621615879427,14645.620041430304,0.48344149893846644
5.0,0.32,0.8,0.2,0.04,0.21155210527615664,0.7049156714937492,14681.461235243365,14683.156734323358,14683.156734333112,14683.156734331335,14683.15673433475,14683.15673433361,14679.227046803082,14679.228097009693,14679.221785572892,14679.228819019483,14679.226383749708,0.4841697413775501
5.0,0.33,0.8,0.2,0.04,0.20496853114644328,0.710659172856776,14714.982548702745,14716.200071489733,14716.200071500261,14716.200071498437,14716.200071502435,14716.20007150089,14713.516113759755,14713.517213033185,14713.510595842821,14713.517968355985,14713.51541935619,0.816422855253782
5.0,0.34,0.8,0.2,0.04,0.19859935386045888,0.7160545947211339,17507.409192012503,17509.67443810925,17509.674438109465,17509.674438109465,17509.67443810979,17509.674438109465,17505.726363348407,17505.726555539124,17505.725396288668,17505.726687506765,17505.72624186353,0.766250442078229
5.0,0.35,0.8,0.2,0.04,0.1923673914362495,0.7211034095982515,20332.87807869866,20334.484638626232,20334.484638626232,20334.484638626232,20334.484638626232,20334.484638626232,20331.629201406897,20331.629253640385,20331.628938277674,20331.62928949532,20331.62916837942,0.40637374270874127
5.0,0.36,0.8,0.2,0.04,0.18621924216457234,0.725983761315379,20364.88962545628,20366.93328837703,20366.93328837703,20366.93328837703,20366.93328837703,20366.93328837703,20363.590119216973,20363.59016617797,20363.589882661356,20363.590198413403,20363.59008952413,0.8565237837259726
5.0,0.37,0.8,0.2,0.04,0.18021502026097175,0.7305953811897485,20396.64714159737,20398.818364256054,20398.818364256054,20398.818364256054,20398.818364256054,20398.818364256054,20395.27627027518,20395.276317601172,20395.27603188696,20395.276350087555,20395.276240351606,1.0716445586181533
5.0,0.38,0.8,0.2,0.04,0.17435004663924358,0.7349633697028038,20427.999324913097,20430.130843879506,20430.130843879506,20430.130843879506,20430.130843879506,20430.130843879506,20426.633523386146,20426.6335713827,20426.63328162119,20426.633604329723,20426.633493038546,1.046071331719369
5.0,0.39,0.8,0.2,0.04,0.1686226303465485,0.7390979579790546,20458.99021941065,20460.90509925823,20460.90509925823,20460.90509925823,20460.90509925823,20460.90509925823,20457.68085124767,20457.680900974803,20457.680600759577,20457.68093511089,20457.680819805133,0.6990707087143155
5.0,0.40,0.8,0.2,0.04,0.16299970749108808,0.7430108888702679,20489.784064880834,20491.287590067583,20491.287590067583,20491.287590067583,20491.287590067583,20491.287590067583,20488.45146793651,20488.451526874414,20488.451171051118,20488.451567331966,20488.45143067056,0.48864741815916407
