m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20350907951317887,0.5844642746501066,4.480666464314034,5.919684137926431,5.919684145937261,5.919684144578476,5.91968414757617,5.9196841463338,2.179742161740485,2.1810078969185795,2.1733975498039015,2.1818779440666347,2.1789429097636983,0.43566279581766837
5.0,0.3,0.8,0.21,0.04,0.21995224271589897,0.6975634492814989,3.2159086230162757,5.259472410139551,5.259472410139551,5.259472410139551,5.259472410139551,5.259472410139551,1.190620323737221,1.1908238209211959,1.1895954841706953,1.190963519685738,1.1904916617236267,0.5739659834504013
5.0,0.3,0.8,0.22,0.04,0.21479959827140382,0.7023790826770198,2.547633547239826,4.834304392958444,4.834304392958444,4.834304392958444,4.834304392958444,4.834304392958444,0.8179915657623553,0.8181561372497583,0.8171626606912525,0.8182691096648398,0.8178875125035177,0.7051185542180045
5.0,0.3,0.8,0.23,0.04,0.20975491130656035,0.7069272041783538,0.70880693847581,2.5310669228078595,2.5310669228078595,2.5310669228078595,2.5310669228078595,2.5310669228078595,5.774684977395495,5.774717732938129,5.774519815609651,5.774740212420269,5.774664260444965,0.4854834627329987
5.0,0.3,0.8,0.24,0.04,0.2046726839916294,0.7114253021529519,0.5676719038650546,2.2468481814843173,2.2468481814843173,2.2468481814843173,2.2468481814843173,2.2468481814843173,5.624725235204679,5.624757642625482,5.624561830056919,5.624779882284784,5.624704739727022,0.4029687391331
5.0,0.3,0.8,0.25,0.04,0.19952905265706503,0.7158343202964154,5.372558758745534,0.2913587752911866,0.2913587752911866,0.2913587752911866,0.2913587752911866,0.2913587752911866,3.5373620885898234,3.537373468216636,3.5373047016605668,3.5373812767525195,3.5373548916782127,1.0763877470508567
5.0,0.3,0.8,0.26,0.04,0.19455783235317575,0.7201330737736638,3.014515658763486,5.101067128317737,5.101067128317737,5.101067128317737,5.101067128317737,5.101067128317737,1.1127931011317571,1.1127942747328063,1.1127871824058104,1.1127950794027868,1.1127923581655352,0.6367819526012899
5.0,0.3,0.8,0.27,0.04,0.18954070701435197,0.7242514445241574,0.8473385116585277,2.7604575042123187,2.7604575042123187,2.7604575042123187,2.7604575042123187,2.7604575042123187,5.85802875775174,5.858028920074716,5.858027937671281,5.858029031316832,5.858028654513177,0.6231367255489939
5.0,0.3,0.8,0.28,0.04,0.1845462019767231,0.7282528943426007,1.050528247100253,3.089484912064897,3.089484912064897,3.089484912064897,3.089484912064897,3.089484912064897,6.02480727623437,6.024807426253702,6.0248065187125945,6.0248075292812615,6.024807181097586,0.8321368686459749
5.0,0.3,0.8,0.29,0.04,0.17958075916131172,0.7321265896363365,1.3893096292056484,3.5600121590948888,3.5600121590948888,3.5600121590948888,3.5600121590948888,3.5600121590948888,0.015803497296268176,0.01580363802784035,0.015802787224650672,0.01580373476533481,0.01580340835860028,1.0617070511635711
5.0,0.3,0.8,0.3,0.04,0.1746529201293484,0.7358656934697672,1.8885793902915609,4.132827812208852,4.132827812208852,4.132827812208852,4.132827812208852,4.132827812208852,0.4015573086141373,0.4015574439505869,0.40155662361546973,0.40155753715196596,0.4015572222994521,1.034244902431717
5.0,0.3,0.8,0.31,0.04,0.1697656658914616,0.7394632108558333,2.568064094181487,4.738137266739237,4.738137266739237,4.738137266739237,4.738137266739237,4.738137266739237,0.8661749939952514,0.8661751325149325,0.8661742941208885,0.8661752276699062,0.8661749056360222,0.7822893831051936
5.0,0.3,0.8,0.32,0.04,0.16491432038625825,0.742924275137155,3.4298723241968148,5.310174256251678,5.310174256251678,5.310174256251678,5.310174256251678,5.310174256251678,1.4375641430428843,1.4375642984136832,1.4375633566355575,1.4375644056503845,1.4375640442535698,0.6115391542717816
5.0,0.3,0.8,0.33,0.04,0.16008069360105756,0.7462818664468033,4.328745816616355,5.83709459688216,5.83709459688216,5.83709459688216,5.83709459688216,5.83709459688216,2.223459768927931,2.2234599564875666,2.2234588222130682,2.2234600858031612,2.2234596498677988,0.5272164335274128
5.0,0.3,0.8,0.34,0.04,0.15524721887516552,0.7495553356995577,5.150530626716595,0.16329665633750778,0.16329665633750778,0.16329665633750778,0.16329665633750778,0.16329665633750778,3.292697045820482,3.292697242016679,3.292696055497167,3.2926973767164824,3.2926969212851915,1.0102296910774193
5.0,0.3,0.8,0.35,0.04,0.1504766269043935,0.7527091681126873,6.000582610444518,1.014393260435952,1.014393260435952,1.014393260435952,1.014393260435952,1.014393260435952,4.427354960948115,4.427355118869137,4.427354163372193,4.427355226855262,4.4273548605399,0.9250817911449057
5.0,0.3,0.8,0.36,0.04,0.14575453169761407,0.7557371917523598,0.43710917611846867,1.9943452493006077,1.9943452493006077,1.9943452493006077,1.9943452493006077,1.9943452493006077,5.341179860498521,5.3411799736724035,5.341179288691926,5.341180051827102,5.341179788914012,0.48606872042365706
5.0,0.3,0.8,0.37,0.04,0.14101943536434386,0.7586588651978028,1.2994393233464052,3.334431450938382,3.334431450938382,3.334431450938382,3.334431450938382,3.334431450938382,6.157223638460003,6.157223731162979,6.157223169724624,6.157223795282356,6.1572235798703545,1.0018969627599568
5.0,0.3,0.8,0.38,0.04,0.13634439150509065,0.7614265650858966,2.632053579483596,4.705163054298879,4.705163054298879,4.705163054298879,4.705163054298879,4.705163054298879,0.9354772152106818,0.9354773102092224,0.9354767365836381,0.9354773749688832,0.935477155445966,0.8250096764503253
5.0,0.3,0.8,0.39,0.04,0.13171447987572263,0.764063264970163,4.166234135892012,5.736895846248956,5.736895846248956,5.736895846248956,5.736895846248956,5.736895846248956,2.1410590573892136,2.141059181611638,2.141058430561827,2.1410592666966863,2.1410589787761296,0.5642132454565905
5.0,0.3,0.8,0.4,0.04,0.12708076353245584,0.7666449982483463,5.4879943991704465,0.5367506202839607,0.5367506202839607,0.5367506202839607,0.5367506202839607,0.5367506202839607,3.7662735937387595,3.766273721391798,3.766272949078001,3.766273809099829,3.766273512801007,1.148973709547912
5.0,0.3,0.8,0.41,0.04,0.12252771293579295,0.7691116027592118,0.3621686464149221,1.884259988034593,1.884259988034593,1.884259988034593,1.884259988034593,1.884259988034593,5.197025220401315,5.1970253102630295,5.197024764999128,5.197025372177791,5.197025162932164,0.5518248209340783
5.0,0.3,0.8,0.42,0.04,0.11797590955172123,0.7714680930724417,1.5863071370113246,3.617763787155134,3.617763787155134,3.617763787155134,3.617763787155134,3.617763787155134,0.08961234543676966,0.08961241853103985,0.08961197647295904,0.08961246902254771,0.08961229917259317,1.1128045282267278
5.0,0.3,0.8,0.43,0.04,0.1134813130424632,0.7736677093127574,3.3883717447960535,5.21968969443234,5.21968969443234,5.21968969443234,5.21968969443234,5.21968969443234,1.5155510985741003,1.5155511812726346,1.5155506817454025,1.5155512381633471,1.5155510458452355,0.6850331151017862
5.0,0.3,0.8,0.44,0.04,0.10900212633782327,0.7757953615019977,5.091593009381377,0.1907953405921461,0.1907953405921461,0.1907953405921461,0.1907953405921461,0.1907953405921461,3.301148690128521,3.301148792614022,3.3011481710798947,3.30114886366011,3.301148624863181,1.0516252708715799
5.0,0.3,0.8,0.45,0.04,0.10459429618215899,0.7778375443855869,0.3028950258062224,1.8113127952942278,1.8113127952942278,1.8113127952942278,1.8113127952942278,1.8113127952942278,5.0837322673439544,5.0837323432140025,5.0837318860692235,5.0837323948769395,5.08373221976283,0.6121579227397421
5.0,0.3,0.8,0.46,0.04,0.10019402828738268,0.779767135992613,1.7840417026967401,3.7837917103246212,3.7837917103246212,3.7837917103246212,3.7837917103246212,3.7837917103246212,0.24413772092189845,0.24413778202902847,0.24413741104613962,0.24413782427687636,0.24413768214832032,1.1386878883056677
