m,eta,tau,kappa,epsilon,mean r1,mean r2,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,s
5.0,0.3,0.8,0.2,0.04,0.20350907951317887,0.5844642746501066,14612.886505656852,14614.325523330464,14614.325523338475,14614.325523337116,14614.325523340114,14614.325523338872,14610.585581354278,14610.586847089457,14610.579236742342,14610.587717136605,14610.584782102302,0.43566279581766837
5.0,0.3,0.8,0.21,0.04,0.21995224271589897,0.6975634492814989,17294.541873981238,17296.58543776836,17296.58543776836,17296.58543776836,17296.58543776836,17296.58543776836,17292.51658568196,17292.516789179143,17292.515560842392,17292.516928877907,17292.516457019945,0.5739659834504013
5.0,0.3,0.8,0.22,0.04,0.21479959827140382,0.7023790826770198,17319.00634013418,17321.293010979898,17321.293010979898,17321.293010979898,17321.293010979898,17321.293010979898,17317.276698152702,17317.27686272419,17317.27586924763,17317.276975696604,17317.276594099443,0.7051185542180045
5.0,0.3,0.8,0.23,0.04,0.20975491130656035,0.7069272041783538,20050.353122148535,20052.175382132868,20052.175382132868,20052.175382132868,20052.175382132868,20052.175382132868,20049.135814880276,20049.13584763582,20049.13564971849,20049.1358701153,20049.135794163325,0.4854834627329987
5.0,0.3,0.8,0.24,0.04,0.2046726839916294,0.7114253021529519,20075.344728342643,20077.023904620262,20077.023904620262,20077.023904620262,20077.023904620262,20077.023904620262,20074.118596366803,20074.118628774224,20074.118432961655,20074.118651013883,20074.118575871325,0.4029687391331
5.0,0.3,0.8,0.25,0.04,0.19952905265706503,0.7158343202964154,22857.3175209709,22858.519506294626,22858.519506294626,22858.519506294626,22858.519506294626,22858.519506294626,22855.482324300745,22855.48233568037,22855.482266913816,22855.482343488908,22855.482317103833,1.0763877470508567
5.0,0.3,0.8,0.26,0.04,0.19455783235317575,0.7201330737736638,25663.543310180194,25665.629861649748,25665.629861649748,25665.629861649748,25665.629861649748,25665.629861649748,25661.641587622562,25661.641588796163,25661.641581703836,25661.641589600833,25661.641586879596,0.6367819526012899
5.0,0.3,0.8,0.27,0.04,0.18954070701435197,0.7242514445241574,28495.092706571082,28497.005825563636,28497.005825563636,28497.005825563636,28497.005825563636,28497.005825563636,28493.820211509996,28493.82021167232,28493.820210689915,28493.82021178356,28493.820211406757,0.6231367255489939
5.0,0.3,0.8,0.28,0.04,0.1845462019767231,0.7282528943426007,28520.428637535242,28522.467594200207,28522.467594200207,28522.467594200207,28522.467594200207,28522.467594200207,28519.119731257197,28519.119731407216,28519.119730499675,28519.119731510244,28519.11973116206,0.8321368686459749
5.0,0.3,0.8,0.29,0.04,0.17958075916131172,0.7321265896363365,28545.900160146066,28548.070862675955,28548.070862675955,28548.070862675955,28548.070862675955,28548.070862675955,28544.526654014157,28544.526654154888,28544.526653304085,28544.526654251626,28544.52665392522,1.0617070511635711
5.0,0.3,0.8,0.3,0.04,0.1746529201293484,0.7358656934697672,28571.53217113587,28573.776419557787,28573.776419557787,28573.776419557787,28573.776419557787,28573.776419557787,28570.045149054193,28570.04514918953,28570.045148369194,28570.04514928273,28570.045148967878,1.034244902431717
